Campaign,Ad Group,Asset type,Text / Header,Description line 1 / Values,Description line 2,Final URL
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,Sitelink,Planta humanizada,Da planta técnica à humanizada,"Cores, pisos e mobiliário",https://spacenode.app/lp/planta-humanizada?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_fidelidade_rsa01_copy01&utm_term=arquiteto
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,Sitelink,Plugin para SketchUp,Renderize dentro do SketchUp,"Grátis, usa os nodes da conta",https://spacenode.app/sketchup?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_fidelidade_rsa01_copy01&utm_term=arquiteto
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_SKETCHUP,Sitelink,Planos a partir de R$ 89,750 nodes por mês,"Cadastro grátis, sem cartão",https://spacenode.app/?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_fidelidade_rsa01_copy01&utm_term=arquiteto
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,Sitelink,Do print ao render,Qualquer print funciona,Render fiel ao modelo,https://spacenode.app/lp/print-do-sketchup?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_plugin_rsa01_copy01&utm_term=arquiteto
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,Sitelink,Planta humanizada,Da planta técnica à humanizada,"Cores, pisos e mobiliário",https://spacenode.app/lp/planta-humanizada?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_plugin_rsa01_copy01&utm_term=arquiteto
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLUGIN,Sitelink,Planos a partir de R$ 89,750 nodes por mês,"Cadastro grátis, sem cartão",https://spacenode.app/?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_plugin_rsa01_copy01&utm_term=arquiteto
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,Sitelink,Do print ao render,Qualquer print funciona,Render fiel ao modelo,https://spacenode.app/lp/print-do-sketchup?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_apresentacao_rsa01_copy01&utm_term=arquiteto
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,Sitelink,Plugin para SketchUp,Renderize dentro do SketchUp,"Grátis, usa os nodes da conta",https://spacenode.app/sketchup?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_apresentacao_rsa01_copy01&utm_term=arquiteto
SN_GOOGLE_CAPTACAO_ARQUITETO,SN_GOOGLE_CAPTACAO_ARQUITETO_PLANTAHUM,Sitelink,Planos a partir de R$ 89,750 nodes por mês,"Cadastro grátis, sem cartão",https://spacenode.app/?utm_source=google&utm_medium=cpc&utm_campaign=sn_google_captacao_arquiteto&utm_content=sn_google_captacao_arquiteto_apresentacao_rsa01_copy01&utm_term=arquiteto
SN_GOOGLE_CAPTACAO_ARQUITETO,,Callout,Cadastro sem cartão,,,
SN_GOOGLE_CAPTACAO_ARQUITETO,,Callout,80 nodes grátis,,,
SN_GOOGLE_CAPTACAO_ARQUITETO,,Callout,Tudo no navegador,,,
SN_GOOGLE_CAPTACAO_ARQUITETO,,Callout,Suporte em português,,,
SN_GOOGLE_CAPTACAO_ARQUITETO,,Callout,Feito por arquiteto,,,
SN_GOOGLE_CAPTACAO_ARQUITETO,,Callout,Plugin para SketchUp,,,
SN_GOOGLE_CAPTACAO_ARQUITETO,,Structured snippet,Serviços,"Render fotorrealista; Planta humanizada; Edição de imagem; Ampliação de imagem; Vídeo do projeto; Plugin para SketchUp",,
